radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,11289,187444753,0,-85.3204,34.2693,7408,19,1,1396665946,1748200646,0
LTE,310,410,15492,56682769,0,-86.1659,33.5918,19432,17,1,1405108702,1783121941,0
LTE,310,410,15494,56602639,0,-86.5078,33.5684,1276,50,1,1405868665,1739407936,0
LTE,310,410,15518,56778255,0,-86.8021,33.2527,12231,23,1,1411526610,1759528627,0
LTE,310,410,15518,56778257,0,-86.806,33.2194,2697,12,1,1411526923,1759528627,0
LTE,310,410,15493,56757775,0,-86.7446,33.1171,21390,27,1,1411907153,1759528628,0
LTE,310,410,15488,56582927,0,-86.823,33.8238,7388,23,1,1413250962,1759528625,0
LTE,310,410,15500,56607505,0,-86.8148,33.5025,9644,50,1,1414510080,1761518281,0
LTE,310,410,11289,188477456,0,-85.1706,34.3574,2713,23,1,1415545644,1751162881,0
LTE,310,410,9101,42243336,0,-85.1552,35.0441,15345,50,1,1423176263,1776957001,0
LTE,310,410,11268,188481553,0,-85.2567,34.0173,9685,36,1,1423493047,1748200577,0
LTE,310,410,9101,42246921,0,-85.1861,34.9635,8155,27,1,1424132560,1782929581,0
LTE,310,410,11289,187470857,0,-85.163,34.229,1908,50,1,1426877533,1748200580,0
LTE,310,410,15507,56621841,0,-86.7826,33.3684,13832,27,1,1427991120,1770137522,0
LTE,310,410,9101,42265352,0,-85.1509,35.0362,15589,50,1,1429481072,1776957002,0
LTE,310,410,8832,41780240,0,-86.8787,34.997,1268,27,1,1430792167,1770159842,0
LTE,310,410,15500,56579857,0,-86.8206,33.58,1259,50,1,1437707661,1762033802,0
LTE,310,410,15512,57353233,0,-86.6593,34.714,4358,50,1,1439395531,1776964081,0
LTE,310,410,11289,187411736,0,-85.105,34.3155,6995,27,1,1441866744,1748200725,0
LTE,310,410,11289,187411729,0,-85.1546,34.3443,15743,25,1,1441866747,1754262422,0
LTE,310,410,11268,188451343,0,-84.9807,33.9363,12430,36,1,1441903300,1748200533,0
LTE,310,410,15494,56595727,0,-86.7428,33.5542,757,50,1,1448482365,1760202661,0
