radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,13316,179792143,0,-82.5301,27.9528,7957,50,1,1366394094,1759310642,0
LTE,310,410,12556,176913679,0,-81.4414,30.2985,3593,20,1,1367726274,1749490386,0
LTE,310,410,13062,179524113,0,-81.3343,28.8188,4688,28,1,1367885277,1762584665,0
LTE,310,410,12556,176924431,0,-81.6018,30.2808,1342,50,1,1368719114,1747521377,0
LTE,310,410,12556,176947728,0,-81.5259,30.2885,5392,28,1,1369675044,1750110976,0
LTE,310,410,13079,179541007,0,-81.431,28.4964,8312,26,1,1370385334,1762584662,0
LTE,310,410,12553,176924945,0,-81.6667,30.3951,22266,28,1,1371747833,1741047701,0
LTE,310,410,13079,179494416,0,-81.48,28.405,6548,28,1,1373920932,1762584662,0
LTE,310,410,13079,179469583,0,-81.4995,28.3815,22257,50,1,1373921027,1748145669,0
LTE,310,410,13084,179475983,0,-81.3008,28.4588,3832,19,1,1374006069,1778684403,0
LTE,310,410,13077,179533839,0,-81.4525,28.528,5718,15,1,1374301443,1753394701,0
LTE,310,410,13323,180774415,0,-81.8374,26.5441,1023,50,1,1374883422,1775942942,0
LTE,310,410,13077,179468047,0,-81.5462,28.62,8960,18,1,1376369467,1776881342,0
LTE,310,410,13324,180635665,0,-82.541,27.3313,2885,10,1,1381727875,1771654983,0
LTE,310,410,14096,174105871,0,-80.4104,25.125,7220,17,1,1387486701,1743545059,0
LTE,310,410,14096,174105878,0,-80.4114,25.1245,3114,35,1,1387493283,1743545059,0
LTE,310,410,13079,179461903,0,-81.4381,28.5271,3143,6,1,1387500472,1753302421,0
LTE,310,410,13080,179468304,0,-81.4087,28.5225,1590,8,1,1387579732,1769797982,0
LTE,310,410,13079,179490831,0,-81.3983,28.449,2618,50,1,1387646580,1748110083,0
LTE,310,410,13079,179469576,0,-81.4966,28.3859,7162,43,1,1387853858,1748145669,0
LTE,310,410,12554,176905232,0,-81.7401,30.1558,2316,25,1,1387792940,1772326191,0
LTE,310,410,12553,176902671,0,-81.683,30.3247,8687,23,1,1387792946,1741047699,0
LTE,310,410,12553,176964879,0,-81.6686,30.3413,1460,50,1,1387792946,1741047700,0
LTE,310,410,12553,176924943,0,-81.6604,30.4064,19313,34,1,1387792946,1741047702,0
LTE,310,410,12553,176923665,0,-81.552,30.3438,5588,23,1,1387792947,1750110904,0
LTE,310,410,12554,176910351,0,-81.7343,30.1437,5036,15,1,1387190249,1772326191,0
LTE,310,410,12554,176935185,0,-81.7305,30.1442,5184,10,1,1387792953,1772326191,0
LTE,310,410,12553,176921103,0,-81.6082,30.3227,4546,9,1,1387792965,1749490326,0
LTE,310,410,12556,176945680,0,-81.5506,30.2427,1253,22,1,1387792983,1750110791,0
LTE,310,410,12553,176932623,0,-81.5416,30.3632,10455,15,1,1387793005,1745008930,0
LTE,310,410,12553,176912911,0,-81.5751,30.4309,4725,26,1,1387793005,1750110903,0
LTE,310,410,12553,176945936,0,-81.7369,30.4011,8372,9,1,1387793005,1772326204,0
LTE,310,410,12553,176944655,0,-81.5216,30.343,6286,35,1,1387793079,1749164777,0
LTE,310,410,14115,174261519,0,-80.0868,26.065,4559,7,1,1389534057,1775790784,0
LTE,310,410,13319,179943695,0,-82.5478,28.7425,8086,27,1,1390878222,1771361884,0
LTE,310,410,14096,174107671,0,-80.5362,24.9934,10054,26,1,1391125133,1743451083,0
LTE,310,410,13081,180001544,0,-80.8268,28.4157,6368,33,1,1393778983,1748145608,0
LTE,310,410,13081,180001551,0,-80.8233,28.4058,6350,50,1,1394554100,1740964581,0
LTE,310,410,12556,176946959,0,-81.394,30.2579,3589,23,1,1395444285,1741389488,0
LTE,310,410,13079,179461896,0,-81.4403,28.5278,5215,17,1,1395711249,1753715161,0
LTE,310,410,14096,174108943,0,-80.4252,25.2163,6242,14,1,1396056505,1743020287,0
LTE,310,410,12556,176921359,0,-81.4694,30.2516,1000,13,1,1398826108,1739288653,0
LTE,310,410,13081,179987983,0,-80.7734,28.5279,3123,27,1,1400078465,1771587635,0
LTE,310,410,13081,180007183,0,-80.661,28.3992,6488,27,1,1400337649,1772326100,0
LTE,310,410,14114,174353167,0,-80.1314,26.2641,2135,50,1,1400450291,1768944901,0
LTE,310,410,14108,174244111,0,-80.168,26.1373,9766,18,1,1400450564,1743002532,0
LTE,310,410,14115,174257167,0,-80.1624,26.0582,6703,42,1,1400450854,1743002533,0
LTE,310,410,14114,174314774,0,-80.1256,26.2829,7060,25,1,1400984882,1743545116,0
LTE,310,410,12553,176923407,0,-81.4944,30.3205,3210,20,1,1401239713,1746405547,0
LTE,310,410,14120,174171663,0,-80.2656,25.7952,4230,22,1,1401695170,1743545090,0
LTE,310,410,14096,174093071,0,-80.4726,25.3892,3842,8,1,1402168269,1743020285,0
LTE,310,410,14094,174088470,0,-80.4073,25.5147,1744,9,1,1402569054,1743020283,0
LTE,310,410,13080,179482383,0,-81.3815,28.5561,5554,32,1,1403202740,1772326124,0
LTE,310,410,13063,179513359,0,-81.4338,28.6409,12938,14,1,1403566094,1777827181,0
LTE,310,410,13079,179490824,0,-81.3918,28.443,26980,37,1,1404405765,1748110083,0
LTE,310,410,13077,179475727,0,-81.5072,28.6178,4835,6,1,1404769147,1776770521,0
LTE,310,410,13077,179470095,0,-81.5112,28.5321,9365,27,1,1406595911,1781277301,0
LTE,310,410,14120,174181391,0,-80.2411,25.7847,9063,16,1,1407016273,1740964685,0
LTE,310,410,13063,179464463,0,-81.4573,28.6446,10633,9,1,1407277768,1777827181,0
LTE,310,410,14117,174163727,0,-80.205,25.9335,10974,27,1,1407373450,1743002534,0
LTE,310,410,14120,174179862,0,-80.2198,25.7827,1054,46,1,1407447790,1743277566,0
LTE,310,410,12547,177926408,0,-82.1911,29.1491,8605,50,1,1408129482,1743635363,0
LTE,310,410,12547,177920776,0,-82.185,29.098,1998,50,1,1408129666,1748079855,0
LTE,310,410,14101,174084111,0,-80.3861,25.6418,7465,50,1,1408459688,1740964682,0
LTE,310,410,13077,179540495,0,-81.5967,28.54,3822,33,1,1409176597,1777050734,0
LTE,310,410,13319,179942927,0,-82.297,28.8409,15297,46,1,1410004060,1777050742,0
LTE,310,410,13319,179806737,0,-82.4874,28.9151,10955,27,1,1410020096,1777050751,0
LTE,310,410,13062,179489551,0,-81.3326,28.8058,7320,43,1,1410984596,1772326133,0
LTE,310,410,13062,179516943,0,-81.3395,28.8069,6505,27,1,1411170347,1762584664,0
LTE,310,410,14127,174181142,0,-80.3383,25.7715,2985,20,1,1411332530,1743277564,0
LTE,310,410,13079,179474959,0,-81.4754,28.4565,6257,49,1,1411343814,1748079905,0
LTE,310,410,13073,180259087,0,-81.1283,29.3551,6782,27,1,1411833929,1762584669,0
LTE,310,410,12553,176908303,0,-81.6011,30.3732,4600,18,1,1412303451,1749164707,0
LTE,310,410,14117,174234127,0,-80.1655,25.9853,8505,28,1,1412630506,1743545102,0
LTE,310,410,14114,174263311,0,-80.1377,26.241,6131,38,1,1413374437,1743002530,0
LTE,310,410,14122,174095119,0,-80.379,25.7766,2570,11,1,1413985538,1743277563,0
LTE,310,410,14117,174746135,0,-80.1666,25.9661,4087,25,1,1414188312,1743002534,0
LTE,310,410,12556,176940305,0,-81.4265,30.289,3021,26,1,1414498827,1749490332,0
LTE,310,410,14120,174198806,0,-80.2624,25.8118,2437,23,1,1415234021,1743545093,0
LTE,310,410,14119,174689808,0,-80.334,25.7834,5679,49,1,1415298689,1743277564,0
LTE,310,410,14123,174360065,0,-80.0878,26.408,2579,15,1,1415408104,1740963553,0
LTE,310,410,14108,174148623,0,-80.1533,26.1856,7376,50,1,1415883397,1743545111,0
LTE,310,410,12553,176899599,0,-81.5664,30.3271,1654,22,1,1416005243,1750110793,0
LTE,310,410,14127,174640400,0,-80.3186,25.7507,7146,21,1,1416316331,1743288664,0
LTE,310,410,14119,174648080,0,-80.3091,25.7823,8147,50,1,1416443813,1743288663,0
LTE,310,410,13074,179463439,0,-81.2517,28.5957,8631,44,1,1416766049,1740964592,0
LTE,310,410,13056,179497480,0,-81.2086,28.5506,1097,27,1,1417226754,1772326116,0
LTE,310,410,12553,178949136,0,-81.3993,30.3333,4584,7,1,1417614963,1749164772,0
LTE,310,410,12556,176974097,0,-81.5407,30.2501,2785,8,1,1418130713,1741573991,0
LTE,310,410,14123,174870800,0,-80.1189,26.3037,8794,38,1,1418337639,1743545117,0
