radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,12553,176924945,0,-81.6667,30.3951,22266,28,1,1371747833,1741047701,0
LTE,310,410,11295,188045072,0,-84.438,33.9013,8074,32,1,1377289411,1778797622,0
LTE,310,410,11296,188479254,0,-84.7916,34.1663,2130,15,1,1381876862,1748068621,0
LTE,310,410,11299,187982095,0,-84.3564,33.9325,7216,40,1,1383931063,1775333764,0
LTE,310,410,11297,187931920,0,-84.2302,33.8967,9494,50,1,1384231799,1773914702,0
LTE,310,410,12553,176902671,0,-81.683,30.3247,8687,23,1,1387792946,1741047699,0
LTE,310,410,12553,176964879,0,-81.6686,30.3413,1460,50,1,1387792946,1741047700,0
LTE,310,410,12553,176924943,0,-81.6604,30.4064,19313,34,1,1387792946,1741047702,0
LTE,310,410,12553,176923665,0,-81.552,30.3438,5588,23,1,1387792947,1750110904,0
LTE,310,410,12553,176921103,0,-81.6082,30.3227,4546,9,1,1387792965,1749490326,0
LTE,310,410,12553,176932623,0,-81.5416,30.3632,10455,15,1,1387793005,1745008930,0
LTE,310,410,12553,176912911,0,-81.5751,30.4309,4725,26,1,1387793005,1750110903,0
LTE,310,410,12553,176945936,0,-81.7369,30.4011,8372,9,1,1387793005,1772326204,0
LTE,310,410,12553,176944655,0,-81.5216,30.343,6286,35,1,1387793079,1749164777,0
LTE,310,410,11295,187528719,0,-84.4854,33.8457,8006,34,1,1393716815,1782937681,0
LTE,310,410,11289,187444753,0,-85.3204,34.2693,7408,19,1,1396665946,1748200646,0
LTE,310,410,12553,176923407,0,-81.4944,30.3205,3210,20,1,1401239713,1746405547,0
LTE,310,410,11295,188053775,0,-84.5228,33.9645,3584,28,1,1402171219,1778270106,0
LTE,310,410,11295,187432209,0,-84.526,33.968,6000,25,1,1402171369,1778270105,0
LTE,310,410,11293,187674383,0,-84.4296,33.7921,1000,5,1,1412290188,1779225063,0
LTE,310,410,12553,176908303,0,-81.6011,30.3732,4600,18,1,1412303451,1749164707,0
LTE,310,410,11268,188451600,0,-84.829,33.9041,4609,50,1,1412305261,1748200534,0
LTE,310,410,11292,187671311,0,-84.3913,33.7796,9530,50,1,1415409544,1778270102,0
LTE,310,410,11290,188485385,0,-84.348,33.7032,4153,17,1,1415409540,1781878803,0
LTE,310,410,11292,187731985,0,-84.3825,33.7594,4227,22,1,1415409553,1778270102,0
LTE,310,410,11292,187671304,0,-84.3883,33.7851,9183,27,1,1415409553,1778270103,0
LTE,310,410,11292,187677457,0,-84.4069,33.7453,8978,31,1,1415409553,1748068631,0
LTE,310,410,11290,187662864,0,-84.3221,33.656,4417,24,1,1415409550,1781878804,0
LTE,310,410,11292,187733008,0,-84.3987,33.7353,3607,8,1,1415409563,1779225064,0
LTE,310,410,11298,187686928,0,-84.3651,33.8119,9621,49,1,1415409575,1743635479,0
LTE,310,410,11297,187941392,0,-84.2524,33.8936,19305,50,1,1415409595,1783011361,0
LTE,310,410,11293,187685391,0,-84.393,33.6278,6245,25,1,1415409588,1778684344,0
LTE,310,410,11293,187737360,0,-84.382,33.6307,9184,26,1,1415409588,1778684344,0
LTE,310,410,11292,187685647,0,-84.392,33.7373,15864,23,1,1415409613,1743635477,0
LTE,310,410,11290,187694858,0,-84.322,33.7361,13851,27,1,1415409635,1778270044,0
LTE,310,410,11290,187694856,0,-84.3321,33.7426,5121,38,1,1415409635,1778270044,0
LTE,310,410,11289,188477456,0,-85.1706,34.3574,2713,23,1,1415545644,1751162881,0
LTE,310,410,12553,176899599,0,-81.5664,30.3271,1654,22,1,1416005243,1750110793,0
LTE,310,410,11291,187651088,0,-84.283,33.5431,21252,31,1,1416237293,1748327710,0
LTE,310,410,11291,187651089,0,-84.307,33.5532,9824,36,1,1416237353,1748327710,0
LTE,310,410,9869,197530646,0,-80.8179,35.0603,1085,31,1,1416496308,1772566085,0
LTE,310,410,11298,187686929,0,-84.3773,33.8054,6785,36,1,1416592819,1743635479,0
LTE,310,410,11298,187688976,0,-84.3598,33.8289,2683,26,1,1416592843,1743635479,0
LTE,310,410,11290,187728650,0,-84.3439,33.746,4471,46,1,1416592884,1778270044,0
LTE,310,410,11292,187671306,0,-84.3871,33.7762,9721,30,1,1416592907,1778270102,0
LTE,310,410,11292,187677456,0,-84.3853,33.7429,6117,50,1,1416592916,1748068631,0
LTE,310,410,12553,178949136,0,-81.3993,30.3333,4584,7,1,1417614963,1749164772,0
LTE,310,410,11295,187686159,0,-84.4227,33.8242,7435,50,1,1418310752,1748200566,0
LTE,310,410,11295,187493393,0,-84.5486,33.8812,3415,7,1,1418310755,1748068628,0
LTE,310,410,11295,187682831,0,-84.4288,33.8523,28797,44,1,1418310755,1743712082,0
LTE,310,410,11295,188058888,0,-84.4995,33.8876,1069,8,1,1418310755,1748200564,0
LTE,310,410,11291,187231248,0,-84.2449,33.521,15023,27,1,1418310768,1748327710,0
LTE,310,410,11290,187649800,0,-84.3079,33.7658,1591,9,1,1417427023,1744929183,0
LTE,310,410,11292,187693832,0,-84.3903,33.7678,6161,28,1,1418310791,1748327713,0
LTE,310,410,11299,187945488,0,-84.3623,33.9137,9603,27,1,1418310802,1775333763,0
LTE,310,410,11292,187693833,0,-84.3913,33.7705,6493,32,1,1418310846,1748327713,0
LTE,310,410,11291,187231247,0,-84.2647,33.5386,29890,50,1,1419355324,1748327710,0
LTE,310,260,30591,15934465,0,-84.3871,33.77,6708,27,1,1419905825,1763685901,0
LTE,310,410,11295,188070672,0,-84.5123,33.9461,8847,44,1,1420394109,1743712083,0
LTE,310,410,11296,187398153,0,-84.5306,34.0895,2440,50,1,1421714900,1760985662,0
LTE,310,410,11291,187157265,0,-84.2333,33.505,12945,28,1,1421957825,1748327710,0
LTE,310,410,9101,42243336,0,-85.1552,35.0441,15345,50,1,1423176263,1776957001,0
LTE,310,410,11268,188481553,0,-85.2567,34.0173,9685,36,1,1423493047,1748200577,0
LTE,310,410,11293,187685896,0,-84.4984,33.6765,6473,50,1,1423874744,1782939121,0
LTE,310,410,11291,187157007,0,-84.1367,33.374,5690,38,1,1423958714,1748327708,0
LTE,310,410,9101,42246921,0,-85.1861,34.9635,8155,27,1,1424132560,1782929581,0
LTE,310,410,11295,188076305,0,-84.4687,33.9019,8118,23,1,1426872884,1782937141,0
LTE,310,410,11289,187470857,0,-85.163,34.229,1908,50,1,1426877533,1748200580,0
LTE,310,410,11293,187750929,0,-84.4399,33.6478,7227,28,1,1429022549,1773453182,0
LTE,310,410,9101,42265352,0,-85.1509,35.0362,15589,50,1,1429481072,1776957002,0
LTE,310,260,30593,15623937,0,-84.4241,33.9152,6121,48,1,1429747670,1739373422,0
LTE,310,260,30593,15623939,0,-84.4446,33.8981,8819,26,1,1429747672,1755613561,0
LTE,310,410,11299,187908105,0,-84.3541,33.9531,7482,41,1,1431035443,1775333764,0
