radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,10525,20813839,0,-82.1986,35.2426,32868,27,1,1407884112,1779922694,0
LTE,310,410,10525,20811279,0,-82.1257,35.1612,9749,50,1,1407884112,1759102149,0
LTE,310,410,9869,197398801,0,-80.7676,35.0621,9310,32,1,1415246443,1777879204,0
LTE,310,410,9869,197398800,0,-80.7529,35.0661,5791,32,1,1415246443,1777879204,0
LTE,310,410,9869,197530646,0,-80.8179,35.0603,1085,31,1,1416496308,1772566085,0
LTE,310,410,9877,197381912,0,-80.7779,35.2874,9320,35,1,1420348068,1771587221,0
LTE,310,410,10524,20503056,0,-81.0562,33.9095,7619,49,1,1439489395,1772067086,0
LTE,310,410,9858,197389839,0,-81.0264,34.6442,5849,25,1,1440955834,1740799803,0
LTE,310,410,9858,197389841,0,-81.013,34.5794,2030,33,1,1440955933,1772067098,0
LTE,310,410,10002,195031313,0,-79.0058,34.9154,3502,14,1,1441833971,1772326386,0
LTE,310,410,10528,21039632,0,-83.0463,34.6951,3486,6,1,1448501876,1775433346,0
LTE,310,410,9872,197391383,0,-80.9595,35.0923,2272,31,1,1457794918,1772482082,0
GSM,310,260,1601,24213,0,-81.0502,34.8056,2606,17,1,1458585248,1771589009,0
GSM,310,260,1601,20653,0,-80.9927,35.0311,7608,49,1,1458585247,1771589004,0
LTE,310,260,31700,18093827,0,-82.5937,35.0523,13641,11,1,1458606441,1775433369,0
LTE,310,260,31701,18863105,0,-80.9949,34.4467,19902,32,1,1458606442,1773517211,0
LTE,310,260,31701,18892802,0,-80.9939,34.4572,1584,30,1,1458606442,1775773452,0
LTE,310,260,31701,18863107,0,-81.0303,34.4428,20189,31,1,1458606442,1775940396,0
LTE,310,260,31702,18756866,0,-81.4018,33.8549,3563,38,1,1458606443,1771588389,0
LTE,310,260,31702,18700289,0,-81.2367,34.0477,2996,8,1,1458606442,1775433267,0
LTE,310,260,31694,18478338,0,-81.3052,35.1704,2303,7,1,1454573592,1774194964,0
LTE,310,260,31702,18753537,0,-81.2356,33.9735,20434,50,1,1458606442,1771588382,0
LTE,310,260,31702,18007810,0,-81.0215,33.8499,5710,32,1,1458606442,1775940384,0
LTE,310,260,31701,18892803,0,-80.9983,34.4886,15251,32,1,1458606442,1775773452,0
LTE,310,260,31700,18984451,0,-82.5312,35.0355,11208,24,1,1458606442,1775433369,0
LTE,310,260,31700,18518531,0,-82.5396,35.0838,3732,21,1,1458606441,1775433372,0
LTE,310,260,31700,19199747,0,-81.031,34.7056,10250,30,1,1458606442,1771588361,0
LTE,310,260,31701,18863106,0,-80.9956,34.3772,2205,28,1,1458606442,1772067094,0
LTE,310,260,31702,18755585,0,-81.3194,34.0127,17836,13,1,1458606443,1775433267,0
LTE,310,260,31702,19043331,0,-81.4073,33.8501,1271,50,1,1458606443,1771588390,0
LTE,310,260,31700,18776835,0,-82.2272,35.1241,14154,8,1,1451587752,1775433380,0
LTE,310,260,31700,19199746,0,-81.0288,34.6605,1677,50,1,1458606442,1772067099,0
LTE,310,260,31702,18756865,0,-81.3637,33.8861,26515,50,1,1458606443,1771588389,0
LTE,310,260,31694,17994497,0,-81.3736,35.2014,18645,50,1,1458606438,1774192928,0
LTE,310,260,31695,18991361,0,-80.5667,35.2908,7004,16,1,1458606439,1772843538,0
LTE,310,260,31702,18850561,0,-81.608,34.3488,2597,31,1,1458606443,1775433257,0
LTE,310,260,31703,18774787,0,-83.2615,34.3746,4138,50,1,1458606444,1753469222,0
LTE,310,260,31703,18973187,0,-83.3054,34.3535,8800,50,1,1458606444,1753469401,0
LTE,310,260,31705,17133827,0,-79.7977,34.2313,1000,24,1,1458606445,1741049613,0
LTE,310,260,31705,18052610,0,-79.8834,34.1379,29068,29,1,1458606445,1741049601,0
LTE,310,260,31705,17231106,0,-79.7641,34.1235,2523,11,1,1458606445,1772324561,0
LTE,310,260,31705,17133825,0,-79.7833,34.2401,8099,47,1,1458606445,1741049613,0
LTE,310,260,31705,18052609,0,-79.8654,34.1704,9128,28,1,1458606445,1741049602,0
LTE,310,260,31712,19026434,0,-78.9645,34.8671,8947,40,1,1458606449,1741049655,0
LTE,310,260,31712,19158530,0,-78.9966,34.7564,5349,50,1,1458606449,1741049651,0
LTE,310,260,31714,18567170,0,-78.6176,35.2656,19437,27,1,1458606451,1741133552,0
LTE,310,260,31703,18973185,0,-83.2841,34.3667,13567,50,1,1458606444,1753469161,0
LTE,310,260,31705,17133826,0,-79.8008,34.2249,4773,19,1,1458606445,1737492850,0
LTE,310,260,31705,17231361,0,-79.759,34.1969,1000,13,1,1458606445,1772324564,0
LTE,310,260,31705,17230851,0,-79.8499,34.1856,3360,23,1,1458606445,1737492850,0
LTE,310,260,31712,18795779,0,-78.9828,34.8248,9176,21,1,1458606448,1741049653,0
LTE,310,260,31712,18795777,0,-78.9748,34.8394,2062,50,1,1458606448,1741049654,0
LTE,310,260,31712,19026433,0,-78.9595,34.8913,8870,28,1,1458606449,1741049655,0
LTE,310,260,31705,17231362,0,-79.7638,34.1858,1442,33,1,1458606445,1772324563,0
LTE,310,260,31705,17230338,0,-79.8496,34.1895,1843,50,1,1458606445,1741049612,0
LTE,310,260,31705,19138819,0,-79.7519,34.2582,6314,27,1,1458606445,1741049604,0
LTE,310,260,31712,19026435,0,-78.9626,34.8798,7563,26,1,1458606449,1741049655,0
LTE,310,260,31703,18774785,0,-83.2518,34.3783,27095,50,1,1458606444,1753469161,0
LTE,310,260,31705,17231105,0,-79.7578,34.1583,845,31,1,1458606445,1772324562,0
LTE,310,260,31705,17230337,0,-79.8332,34.2042,1396,27,1,1458606445,1741049612,0
LTE,310,260,31705,19138817,0,-79.7199,34.2663,4701,27,1,1458606445,1755802382,0
LTE,310,260,31712,18795778,0,-78.9863,34.8124,1385,49,1,1458606448,1741049653,0
LTE,310,260,31712,19158529,0,-78.994,34.7886,9602,27,1,1458606449,1741049652,0
LTE,310,260,31714,18567169,0,-78.6081,35.2822,17445,30,1,1458606451,1741133553,0
LTE,310,260,31720,19195139,0,-80.5363,32.754,2347,38,1,1458606454,1757761683,0
